idx,pt1_x,pt1_y,pt1_z,pt2_x,pt2_y,pt2_z,pt1_back_x,pt1_back_y,pt1_back_z,voxel_error,mm_error,score_12,score_21
0,44,157,27,46,131,28,48,156,27,4.123105625617661,8.246211251235321,0.67138671875,0.6953125
1,17,88,31,16,78,30,30,88,30,13.038404810405298,26.476404589747453,0.64208984375,0.66650390625
2,99,83,44,90,51,47,94,80,47,6.557438524302,19.0,0.61279296875,0.64794921875
3,86,160,84,84,130,84,86,158,84,2.0,4.0,0.7353515625,0.77001953125
4,147,110,42,146,84,44,146,108,41,2.449489742783178,6.708203932499369,0.74658203125,0.74169921875
5,48,121,36,38,102,35,50,120,36,2.23606797749979,4.47213595499958,0.70166015625,0.703125
6,29,116,81,22,102,76,42,139,78,26.589471600616662,54.92722457943783,0.724609375,0.7197265625
7,103,166,87,94,138,85,102,165,86,1.7320508075688772,5.744562646538029,0.66259765625,0.662109375
8,105,124,38,96,96,42,104,122,37,2.449489742783178,6.708203932499369,0.728515625,0.7236328125
9,169,125,34,162,88,35,168,110,32,15.165750888103101,31.68595903550972,0.70751953125,0.72509765625
10,95,71,34,80,54,36,96,68,34,3.1622776601683795,6.324555320336759,0.63330078125,0.6162109375
11,91,144,24,76,114,28,90,142,25,2.449489742783178,6.708203932499369,0.603515625,0.712890625
12,14,124,13,10,108,15,15,122,11,3.0,10.954451150103322,0.6923828125,0.7255859375
13,86,38,83,86,22,81,98,38,83,12.0,24.0,0.57568359375,0.6240234375
14,68,114,34,56,98,37,68,114,34,0.0,0.0,0.80224609375,0.79150390625
15,62,55,51,50,44,49,56,52,55,7.810249675906654,24.08318915758459,0.70751953125,0.75146484375
16,173,148,22,164,118,25,172,146,21,2.449489742783178,6.708203932499369,0.67626953125,0.7080078125
17,178,109,52,163,82,54,159,108,55,19.261360284258224,40.90232267243512,0.61181640625,0.70166015625
18,150,134,19,141,104,22,146,136,18,4.58257569495584,10.246950765959598,0.6552734375,0.67431640625
19,110,46,70,102,24,68,110,46,69,1.0,5.0,0.75146484375,0.74609375
